№ пп;Наименование  ;Группа товаров;Ед. изм. ;Количество; Цена за ед.изм., руб. РФ без учета НДС;Местонахождение;Сссылка на сайт размещения;Группа
1;Барабан натяжной 10063-100;Запасные части к автомобилям/спецтехнике;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
2;Барабан натяжной 10080-80;Запасные части к автомобилям/спецтехнике;шт;3;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
3;Барабан приводной 100100ф-180;Запасные части к автомобилям/спецтехнике;шт;3;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
4;Блок управления классификатора JD1A-40;Приборы КИП и комплектующие;шт;1;7 474,58;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
5;Бронзовая втулка оси ролика 331294;Комплектующие к ДСК,  конвейерам (ролики, роликоопоры);шт;12;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
6;Вал подшипникового узла;Подшипники;шт;1;3 500,00;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
7;Вал подшипникового узла (для ВК-273);Подшипники;к-т;1;2 046,62;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
8;Вентиль G1/4 2839 1/4;Запорная арматура (задвижки, клапаны);шт;8;154,43;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
9;Винтовой конвейер ВК-273-4860-ТЛ-С – угол наклона 35 гр. ;Комплектующие к ДСК,  конвейерам (ролики, роликоопоры);шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
10;Конвейер винтовой ВК-273-6000-ТЛ-С – угол наклона 35 гр.;Комплектующие к ДСК,  конвейерам (ролики, роликоопоры);шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/oborudovanie_dlya_biznesa/baraban_natyazhnoyprivodnoy_3939629962;Реализация ТМЦ
11;Вкладыш (износостойкая втулка TGM 160-115-18);Запасные части к автомобилям/спецтехнике;шт;12;450,79;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
12;Вкладыш п/э 160*280;Упаковочные материалы (бирки, ленты);шт;1955;60,52;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
13;Вкладыш-сетка фильтрующая из нерж. стали 0,10мм;Сменные комплектующие (ножи, плиты, сита);шт;1;701,4;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
14;Гайка крепления рабочего колеса ч. 331291;Метизы;шт;1;750,31;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
15;ГТР 46-14-ЗСП к бульдозеру Т-330;Запасные части к спецтехнике;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
16;Двигатель WM-D90/90-2/1K5 220-240/380-415B;Электродвигатели и комлектующие;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/elektrodvigateli_v_assortimente_2852772792;Реализация ТМЦ
17;Задвижка 30ч6бр ДУ 250;Запорная арматура (задвижки, клапаны);шт;2;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
18;Кольцо ступенчатое TGM 160;Запасные части к автомобилям/спецтехнике;шт;1;87 784,75;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
19;Лопатка сепаратора ч. 331293;Нестандартное оборудование по чертежам;шт;100;320,69;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
20;Манжета армированная 1.2-110*140;РТИ, РВД, АТИ;шт;14;43,43;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
21;Манжета армированная 1.2-140*170;РТИ, РВД, АТИ;шт;9;39,75;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
22;Муфта DN 08 1SN/2SN;Кабель и провод, наконечники для кабеля, муфты; шт ;50;11,87;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
23;Насос ЭЦВ 10-65-65;Насосы и комплектующие; шт ;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
24;Пластина для вибропитателя TGM-160 ч 331295;Сменные комплектующие (ножи, плиты, сита); шт ;25;51,43;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
25;Подшипник 7530;Подшипники;шт;2;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
26;Подшипник GE 160 ES-2RS;Подшипники;шт;2;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
27;Ремень SPB-3150;Запасные части к автомобилям/спецтехнике;шт;4;1 379,71;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
28;Розетка 16А, 3P+N+E, IP67 CEW 416 C6W 2CMA166572R1000;Низковольтное электротехническое оборудование;шт;29;296,31;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
29;Ролик TGM - 160;Сменные комплектующие ;шт;10;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
30;Ролик конвейерный 102*600;Комплектующие к ДСК,  конвейерам (ролики, роликоопоры);шт;11;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
31;Светофор дорожный (ДС);Приборы КИП и комплектующие;шт;10;3 583,05;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
32;Стеклоблоки 194*194*80 Гост 9272-8 1;Строительные/отделочные материалы;шт;109;30,37;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
33;Технологический поддон для вибропресса ВП-5 Илья Муромец;Сменные комплектующие (ножи, плиты, сита);шт;193;311,62;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
34;Топливозаборник с поплавком, шланг 2,10 м;Запасные части к спецтехнике;шт;1;1 961,19;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
35;"Труба медная 1/2"" (15м) Н";Металлопрокат;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
36;Трубка полиуретановая D1=8, D2=6;Сантехника;м;30;68,57;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
37;Указатель уровня топлива, мех. до 2,5 м.;Запасные части к спецтехнике;шт;1;544,39;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
38;Уплотнение газ. стыка головки 840-1003466;Запасные части к автомобилям/спецтехнике;шт;12;310,03;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
39;Уплотнение полиуритановое концевой опоры для ВК-273.00.007;Запасные части к автомобилям/спецтехнике;шт;8;283,56;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
40;Фитинг проходной S2500 1/4;Сантехника;шт;9;21,82;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
41;Фитинг цанга прямой S6510 8-1/2;Сантехника;шт;2;47,59;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
42;Фитинг цанга прямой S6510 8-1/4;Сантехника;шт;11;26,18;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
43;Фитинг цанга тройник 7540 8;Сантехника;шт;2;59,1;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
44;"Форма ""Двойное Т"" 225х135х60";Окна, двери, кровельные материалы, плитка;шт;327;16,94;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
45;"Форма ""Средневековая I"" 130х130х57";Окна, двери, кровельные материалы, плитка;шт;493;27,83;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
46;Форсунка жидкотопл. S60 3,50 GPN с фильтром;Запасные части к автомобилям;шт;1;1 402,10;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
47;Форсунка жидкотопл. S60 7,00 GPN с фильтром;Запасные части к автомобилям;шт;2;1 479,80;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
48;Цепь ПР 12,7 13568-75;Запасные части общепромышленного назначения;м;234;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
49;Штанга мельницы TGM-160 331288;Запчасти к станку;шт;12;1 559,38;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
50;Эл.двигатель YCT225-4A 11 кВт, 1250-125 об/мин. 1М 1081, в сборе с индукторной муфтой скольжения;Электродвигатели и комлектующие;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/elektrodvigateli_v_assortimente_2852772792;Реализация ТМЦ
51;редуктор 1Ц2У_100_10_11_У1;Редукторы;шт;2;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
52;Фильтр гидравлический Parker 937776Q;Запасные части к автомобилям/спецтехнике;шт.;5;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
53;Фильтр мешок SG72MO25EP;Запасные части к автомобилям/спецтехнике;шт.;2;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
54;Фильтр мешок SG72MO50EP;Запасные части к автомобилям/спецтехнике;шт.;24;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
55;Двигатель турбореактивный РД3М-500;Электродвигатели и комлектующие;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/dvigatel_turboreaktivnyy_rd3m-500_2851799084;Реализация ТМЦ
56;Труба жаровая б/у;Металлопрокат;шт;14;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
57;Двигатель турбореактивный РД3М-500 б/у;Электродвигатели и комлектующие;шт;1;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/dvigatel_turboreaktivnyy_rd3m-500_2851799084;Реализация ТМЦ
58;муфта 2501-15-103;Кабель и провод, наконечники для кабеля, муфты;шт;2;1 426,10;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
59;муфта 2501-26-304;Кабель и провод, наконечники для кабеля, муфты;шт;1;1 176,32;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
60;муфта 2501-26-93;Кабель и провод, наконечники для кабеля, муфты;шт;1;963,3;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
61;муфта 2501-26-94;Кабель и провод, наконечники для кабеля, муфты;шт;2;1 217,56;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
62;муфта 404-26-28;Кабель и провод, наконечники для кабеля, муфты;шт;1;843,73;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
63;муфта 404-26-29;Кабель и провод, наконечники для кабеля, муфты;шт;1;693,2;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
64;Патрубок вводн. У477 УЗ ЗЭТАРУС zeta41112;Низковольтное электротехническое оборудование;шт;30;62,91;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
65;Патрубок У-478;Низковольтное электротехническое оборудование;шт;70;98,7;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
66;пружина 385159;Запасные части к автомобилям/спецтехнике;шт;2;66,95;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
67;Пружина 385278 (длина 70см);Запасные части к автомобилям/спецтехнике;шт;2;69,81;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
68;пружина 385325 (длина 60д);Запасные части к автомобилям/спецтехнике;шт;2;79,7;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
69;Ремень 8РК 1885;Запасные части к автомобилям/спецтехнике;шт;2;1 087,39;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
70;"Трансформатор напряжения антирезонансный НАМИ-10У2 50Гц; 6000/100В";Высоковольтное оборудование, высоковольтные опоры;шт;1;51 013,76;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
71;Фильтр гидравлический SH68238;Запасные части к автомобилям/спецтехнике;шт;1;13 132,80;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
72;Фильтр масляный LF-3744;Запасные части к автомобилям/спецтехнике;шт;6;969,33;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
73;Фильтр масляный SO10021;Запасные части к автомобилям/спецтехнике;шт;2;3 369,33;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
74;Фильтр топливный 10044303/FF5156, L10044303;Запасные части к автомобилям/спецтехнике;шт;1;657,33;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
75;Лопатка сепаратора ч. 331293;Нестандартное оборудование по чертежам;шт;10;299,07;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
76;Контейнер емкостью 1 кубометр;Тара;шт;1;10 893,33;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
77;Насос НШ-100А-3 правый;Насосы и комплектующие;шт;2;12 047,78;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
78;Насос НШ 50А;Насосы и комплектующие;шт;1;8 670,22;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
79;Держатель желоба D160мм оц;Строительные/отделочные материалы;шт;152;59,56;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
80;Держатель трубы D120 оц;Строительные/отделочные материалы;шт;15;48,89;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
81;Желоб водосточный D160*1250мм оц;Окна, двери, кровельные материалы, плитка;шт;69;194,67;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
82;Желоб водосточный D160*1250мм оц с патрубком;Окна, двери, кровельные материалы, плитка;шт;6;256;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
83;Колено трубы D120- оц;Металлопрокат;шт;20;145,15;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
84;Отмет D12 - оц;Метизы;шт;6;122,93;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
85;Металлоконструкции балка подкрановая;Металлопрокат;т;183,448;0;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/podkranovye_balki_metallokonstruktsii_2852622113;Реализация ТМЦ
86;Канат ГОСТ 2688-80 d=25,5-Г-Н;Канаты, стропы, цепи;м;150;256,99;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
87;Электродвигатель 4МТМ 225 L6 У1 (55/955) IМ 1003;Электродвигатели и комлектующие;шт.;1;170 666,67;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/elektrodvigateli_v_assortimente_2852772792;Реализация ТМЦ
88;Джойстик VNS0 4 4 F GGEA-X 14 4D0 4D0+2*G13;КИПиА и средства автоматизации;шт;2;договорная;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
89;7025318 Клапан;Запчасти;шт;1;32 576,45;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
90;9062722 Ремкомплект цилиндра качающегося моста;Запчасти;шт;2;19 375,63;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
91;Втулка 9642173;Запчасти;шт;3;23 652,36;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
92;Втулка 9951311;Запчасти;шт;3;9 991,56;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
93;Втулка PG5-660 (PG5-660.02.001);Запчасти;шт;11;3 098,81;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
94;Втулка PG5-660 (PG5-660.02.001);Запчасти;шт;16;2 763,83;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
95;Втулка гидроцилиндра стрелы 9164350;Запчасти;шт;3;12 022,93;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
96;втулка серьги грейфера 9026242;Запчасти;шт;2;6 668,41;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
97;Кольцо уплотнительное 10490787;Запчасти;шт;24;352,73;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
98;Крестовина GUK-12;Запчасти;шт;1;868,83;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
99;ремкомплект поршня 9156042;Запчасти;шт;1;7 859,57;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
100;Сальник на насос 7030002;Запчасти;шт;2;520,61;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
101;Соленоид 5616765;Запчасти;шт;1;10 165,57;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
102;Соленоид 7023379;Запчасти;шт;2;6 122,13;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
103;трубка гидравлическая 9613031;Запчасти;шт;2;19 078,72;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
104;трубка подачи масла турбины 10115743;Запчасти;шт;1;3 916,56;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
105;уголок 9881766;Запчасти;шт;2;3 050,75;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
106;Хомут 10411367;Запчасти;шт;2;15 432,88;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
107;7011819 Уплотнительное кольцо;Химические реактивы;шт;1;1 470,24;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
108;Гранит керамический 60*60 UF003 (полир) ректифицированный;Строительные материалы;шт;171;315;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
109;Гранит керамический 60*60 UF013 (полир);Строительные материалы;шт;53;315;"г.Новокузнецк ООО ""Вторресурс-Переработка""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
110;Держатель с защелкой CF20;Электротехнические материалы;шт;500;3,27;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
111;Кабель ВВГнг 5х95-1;Кабель, провод;м;48;3 267,00;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
112;Кляммер рядовой нерж. 1,2 мм (430);Метизы и крепеж;шт;526;23,12;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
113;Отвод 50*45гр;Инженерная сантехника;шт;2;20,83;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
114;Отвод ПП 90гр. Дн50;Инженерная сантехника;шт;1;20;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
115;Переход ПП 110*50;Инженерная сантехника;шт;1;47,5;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
116;Подшипник 2556;Запчасти;шт;2;54 167,00;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
117;Провод ПуГВнг(А)-LS 1х10;Кабель, провод;шт;100;94,44;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
118;Прокладка паронитовая 2мм 90*80;Строительные материалы;шт;549;4,92;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
119;Тройник ПП прямой 90гр Дн110-110;Инженерная сантехника;шт;2;120;"г.Новокузнецк ООО ""Вторресурс-Переработка""";;Реализация ТМЦ
